story_number,general_question,analysts,intersection,union,total_union,total_intersection
49,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.6']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.2', 'V5.1.3', 'V5.1.4']",V5.1.3,"V12.3.1, V12.4.1, V5.1.2, V5.1.3, V5.1.4, V5.2.1, V5.2.6",7,1
50,Does the user story involve some token?,"daniel: ['V3.3.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.3.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
50,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
50,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']",,"V5.1.3, V5.2.6",2,0
50,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
50,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
51,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4', 'V5.2.6']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V5.1.3, V5.1.4, V5.2.6",3,1
51,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
51,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1'],V4.3.1,V4.3.1,1,1
51,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
51,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
51,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
51,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
52,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']",,"V5.1.3, V5.2.6",2,0
52,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
52,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
52,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
53,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
53,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
53,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']",,"V5.1.3, V5.2.6",2,0
53,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
54,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
54,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
54,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
54,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
54,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
54,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.2', 'V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.2, V5.1.3, V5.2.6",3,1
54,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
55,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
55,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
55,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
55,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.2', 'V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V5.1.2, V5.1.3",2,1
55,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
55,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
55,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
56,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5', 'V5.2.3']; victor: ['V5.2.3']",V5.2.3,"V5.1.3, V5.1.5, V5.2.3",3,1
56,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
56,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
56,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1', 'V8.3.3']",,"V4.2.1, V8.3.1, V8.3.3",3,0
57,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1', 'V8.3.3']",,"V4.2.1, V8.3.1, V8.3.3",3,0
57,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.1', 'V5.2.3']; victor: ['V5.1.3', 'V5.2.3']","V5.1.3, V5.2.3","V5.1.3, V5.2.1, V5.2.3",3,2
57,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
57,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
58,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
58,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
58,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.6']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.2.1, V5.2.6",5,1
58,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']; tulio: ['V8.2.3']",,"V2.2.1, V2.5.5, V8.2.3",3,0
58,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
58,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
59,Does the user story involve the implementation/change of some system authentication?,"victor: ['V2.1.1', 'V2.1.10', 'V2.1.11', 'V2.1.12', 'V2.1.2', 'V2.1.3', 'V2.1.4', 'V2.1.5', 'V2.1.6', 'V2.1.7', 'V2.1.8', 'V2.1.9', 'V2.5.1', 'V2.5.2', 'V2.5.3', 'V2.5.6']",,"V2.1.1, V2.1.10, V2.1.11, V2.1.12, V2.1.2, V2.1.3, V2.1.4, V2.1.5, V2.1.6, V2.1.7, V2.1.8, V2.1.9, V2.5.1, V2.5.2, V2.5.3, V2.5.6",16,0
59,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.3']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.1.4, V5.2.1, V5.2.3",6,1
59,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1', 'V8.3.3']",,"V4.2.1, V8.3.1, V8.3.3",3,0
59,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.3, V5.3.4",3,1
59,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
60,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
60,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
60,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.3']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.2.1, V5.2.3",5,1
60,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.3, V5.3.4",3,1
60,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
60,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
61,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
61,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
61,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V12.4.2', 'V5.1.3', 'V5.2.1', 'V5.2.6']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V12.3.1, V12.4.1, V12.4.2, V5.1.3, V5.1.4, V5.2.1, V5.2.6",7,1
61,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
61,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']; victor: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
61,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
62,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
62,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
62,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
62,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']",,"V5.1.3, V5.2.6",2,0
63,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.3",4,0
63,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
63,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",V3.7.1,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,1
63,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
63,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4']; tulio: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.4",2,1
63,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
64,Does the user story implementation involve input from the client or the environment?,daniel: ['V5.1.5'],,V5.1.5,1,0
64,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
64,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3",3,1
64,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
65,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4', 'V5.2.3']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V5.1.3, V5.1.4, V5.2.3",3,1
65,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
65,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.2.1', 'V2.5.6']; victor: ['V2.1.1', 'V2.1.10', 'V2.1.11', 'V2.1.12', 'V2.1.2', 'V2.1.3', 'V2.1.4', 'V2.1.5', 'V2.1.6', 'V2.1.7', 'V2.1.8', 'V2.1.9', 'V2.5.1', 'V2.5.2', 'V2.5.3', 'V2.5.6']","V2.1.1, V2.5.6","V2.1.1, V2.1.10, V2.1.11, V2.1.12, V2.1.2, V2.1.3, V2.1.4, V2.1.5, V2.1.6, V2.1.7, V2.1.8, V2.1.9, V2.2.1, V2.5.1, V2.5.2, V2.5.3, V2.5.6",17,2
65,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1', 'V8.3.3']",,"V4.2.1, V8.3.1, V8.3.3",3,0
65,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.3, V5.3.4",3,1
65,Does the user story involve some token?,daniel: ['V3.4.3'],,V3.4.3,1,0
66,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
66,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
66,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
66,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
